Open,High,Low,Close,Volume,Market Cap
2.79,2.8,0.714725,0.753325,674188,167911000
0.706136,0.87981,0.629191,0.701897,532170,42637600
0.713989,0.729854,0.636546,0.708448,405283,43130000
0.708087,1.13,0.663235,1.07,1463100,42796500
1.06,1.29,0.883608,1.22,2150620,64018400
1.22,1.97,1.17,1.83,4068680,73935400
1.81,2.26,1.75,1.83,4637030,109594000
1.8,1.88,1.57,1.69,2554360,109160000
1.68,1.7,1.09,1.57,3550790,102028000
1.58,1.58,1.19,1.2,1942830,95819700
1.22,1.33,1.09,1.09,1485680,88143200
1.17,1.32,1.17,1.26,1486240,84663900
1.25,1.53,1.25,1.46,2843760,90809000
1.48,1.56,1.35,1.4,2020970,107266000
1.4,1.48,1.35,1.38,948310,101404000
1.38,1.41,1.3,1.35,1589300,99894500
1.35,1.36,1.23,1.23,924920,97791600
1.23,1.24,1.13,1.14,1307180,89321900
1.13,1.2,1.06,1.16,1056750,82384400
1.17,1.19,1.14,1.15,686662,85106100
1.15,1.21,1.12,1.19,721872,83521700
1.19,1.21,1.15,1.18,375377,86887600
1.18,1.37,1.17,1.32,1337650,86145900
1.32,1.4,1.2,1.36,1447180,96251000
1.35,1.39,1.34,1.35,778862,98617200
1.35,1.35,1.26,1.29,883769,98504600
1.3,1.31,1.21,1.26,702991,94418700
1.26,1.3,1.24,1.27,474391,92234100
1.28,1.34,1.27,1.34,448453,93402300
1.34,1.37,1.29,1.3,491968,97625500
1.3,1.31,1.24,1.25,489014,94585300
1.25,1.28,1.23,1.24,427892,91020700
1.24,1.26,1.2,1.21,366748,90518300
1.21,1.22,1.14,1.17,662782,88230500
1.16,1.17,0.940675,0.982978,1942600,85144300
0.987228,1.11,0.96978,1.04,772430,72179000
1.04,1.04,0.902832,0.936003,644138,76193600
0.940566,0.949387,0.87176,0.875622,741085,68814400
0.875189,1.05,0.875189,0.94441,703390,64052400
0.941977,0.952698,0.901639,0.907175,615593,68963300
0.906865,0.909204,0.831132,0.874231,897940,66415200
0.874574,0.888102,0.833908,0.853685,484622,64071300
0.849603,0.911883,0.833784,0.882391,386988,62262700
0.881191,0.947741,0.873205,0.938445,508314,64600000
0.941496,0.957326,0.878301,0.919047,424039,69045900
0.919337,0.919337,0.865225,0.901796,487914,67444200
0.90356,0.90891,0.885136,0.893406,200541,66309600
0.896796,0.908571,0.79346,0.81361,842505,65836400
0.820031,0.825665,0.712745,0.736223,903457,60221400
0.73763,0.787544,0.709328,0.785964,369620,54188900
0.791277,0.791277,0.719169,0.720839,413801,58149600
0.723715,0.725677,0.557062,0.582886,1320890,53201800
0.579414,0.67583,0.558346,0.661146,913992,42607700
0.661192,0.746722,0.635861,0.738644,619926,48636600
0.734307,0.734307,0.655906,0.690215,596084,54032300
0.683732,0.69112,0.654605,0.678574,219318,50328700
0.678783,0.709204,0.675482,0.687171,163326,49981900
0.686343,0.693126,0.660716,0.668379,103497,50556000
0.666784,0.674438,0.62445,0.628643,234263,49131600
0.622218,0.653944,0.60623,0.650645,262674,45863300
0.650515,0.656301,0.602423,0.609388,218327,47964700
0.609501,0.633138,0.591971,0.621716,310266,44955900
0.655084,0.692296,0.632116,0.650628,386420,48334900
0.641187,0.649022,0.624374,0.627857,141555,47325200
0.627461,0.639506,0.618335,0.634963,102128,46327500
0.634515,0.657789,0.62603,0.62603,109567,46864200
0.627943,0.63024,0.599214,0.607655,303044,46395200
0.61224,0.61224,0.483974,0.522968,971664,45250600
0.523278,0.572714,0.51473,0.561878,371022,38688300
0.562593,0.568861,0.522533,0.536495,249891,41608900
0.534117,0.56346,0.526961,0.547178,313860,39515900
0.547913,0.552234,0.512861,0.517734,133690,40550400
0.517621,0.521546,0.480994,0.489014,243742,38321300
0.489629,0.501898,0.431648,0.434829,383921,36261200
0.431589,0.482988,0.420897,0.447329,609085,31973600
0.444988,0.619466,0.420991,0.567702,924822,32977300
0.56637,0.611743,0.504284,0.539657,878822,41986400
0.539681,0.577396,0.518688,0.56359,258356,40022100
0.563207,0.688192,0.561383,0.616039,635384,41781300
0.619743,0.757517,0.597098,0.731317,1089120,45991300
0.70889,0.898172,0.70889,0.869641,1846370,52624300
0.870938,1.06,0.807857,1,2373050,64676600
1.01,1.21,0.947374,1.21,2279240,74675600
1.21,1.35,0.96816,1.04,2429200,89857400
1.05,1.06,0.900171,0.916627,673892,77800300
0.920847,1.08,0.899082,1.06,588913,68477200
1.06,1.1,0.953647,0.989789,1145200,78701400
0.994568,1.07,0.936615,1.01,1907690,74010000
1.01,1.04,0.725665,0.89905,3060340,75232400
0.900699,0.991259,0.860382,0.895637,1179840,67070700
0.904772,0.989848,0.852929,0.926032,913666,67397100
0.923732,0.943787,0.863539,0.927974,890187,68833200
0.915661,1.03,0.915661,1.03,1021460,68254300
1.03,1.11,0.945263,0.999278,2045290,76991800
1,1.05,0.920968,0.934348,854581,74685300
0.941296,0.945278,0.729775,0.791829,1278580,70236200
0.796455,0.913919,0.76351,0.895711,806156,59448700
0.907722,0.917309,0.846023,0.904096,543671,67777000
0.905469,0.906113,0.876908,0.888812,372514,67631900
0.891217,0.921516,0.874957,0.906368,411848,66590200
0.906166,0.944732,0.891971,0.928962,620945,67730700
0.924948,1.03,0.905794,1.01,1145440,69157900
0.993214,1.01,0.940516,0.993319,681104,74287700
0.988713,1.01,0.937498,0.955532,443528,73976100
0.955735,0.955735,0.898576,0.92492,614335,71532500
0.928758,0.978743,0.92094,0.97614,455976,69535300
0.979765,0.984132,0.958982,0.968018,372173,73378800
0.967493,0.969057,0.93387,0.946969,441875,72484200
0.946442,0.948055,0.895931,0.900191,524195,70931100
0.893827,0.899493,0.851106,0.863537,622991,67010200
0.863273,0.903643,0.80436,0.884183,947473,64740900
0.8821,0.900051,0.860695,0.867951,403813,66174600
0.868102,0.929293,0.862122,0.915703,462464,65147000
0.914144,0.914153,0.860533,0.878614,448358,68625100
0.879951,0.895054,0.847696,0.873119,784439,66080400
0.878316,0.886736,0.853937,0.8748,652857,65980000
0.873171,0.878017,0.818924,0.82121,506307,65615700
0.818546,0.837664,0.785086,0.812143,539969,61530500
0.812082,0.859575,0.802373,0.840041,241278,61065700
0.841195,0.872821,0.824444,0.862438,232743,63276000
0.866417,0.882436,0.833115,0.8355,443608,65194900
0.836322,0.850791,0.78765,0.811264,520409,62950900
0.806024,0.823645,0.782328,0.822118,445903,60690400
0.824454,0.824454,0.770488,0.792167,624221,62098400
0.79559,0.86159,0.787291,0.840396,369589,59945000
0.839995,0.929762,0.819789,0.929762,801072,63312400
0.931196,1.05,0.928546,0.976973,1376280,70210000
0.971538,0.989394,0.937438,0.952884,273614,73276400
0.95662,1.01,0.950178,0.993022,563436,72176400
